admin1,month,protest_count,repression_events,protest_count_t1
Central Kalimantan,2019-06-01,0,0,1
Central Kalimantan,2019-07-01,1,0,0
Central Kalimantan,2019-08-01,0,0,2
Central Kalimantan,2019-09-01,2,0,0
Central Kalimantan,2019-10-01,0,0,1
Central Kalimantan,2019-11-01,1,0,0
Central Kalimantan,2019-12-01,0,0,0
Central Kalimantan,2020-01-01,0,0,0
Central Kalimantan,2020-02-01,0,0,0
Central Kalimantan,2020-03-01,0,0,0
Central Kalimantan,2020-04-01,0,0,0
Central Kalimantan,2020-05-01,0,0,2
Central Kalimantan,2020-06-01,2,0,0
Central Kalimantan,2020-07-01,0,0,0
Central Kalimantan,2020-08-01,0,0,0
Central Kalimantan,2020-09-01,0,0,1
Central Kalimantan,2020-10-01,1,1,0
Central Kalimantan,2020-11-01,0,0,0
Central Kalimantan,2020-12-01,0,0,0
Central Kalimantan,2021-01-01,0,0,0
Central Kalimantan,2021-02-01,0,0,0
Central Kalimantan,2021-03-01,0,0,0
Central Kalimantan,2021-04-01,0,0,0
Central Kalimantan,2021-05-01,0,0,0
Central Kalimantan,2021-06-01,0,0,1
Central Kalimantan,2021-07-01,1,0,0
Central Kalimantan,2021-08-01,0,0,0
Central Kalimantan,2021-09-01,0,0,1
Central Kalimantan,2021-10-01,1,0,2
Central Kalimantan,2021-11-01,2,0,2
Central Kalimantan,2021-12-01,2,0,3
Central Kalimantan,2022-01-01,3,0,1
Central Kalimantan,2022-02-01,1,0,1
Central Kalimantan,2022-03-01,1,0,2
Central Kalimantan,2022-04-01,2,0,3
Central Kalimantan,2022-05-01,3,0,2
Central Kalimantan,2022-06-01,2,0,5
Central Kalimantan,2022-07-01,5,0,3
Central Kalimantan,2022-08-01,3,0,3
Central Kalimantan,2022-09-01,3,0,1
Central Kalimantan,2022-10-01,1,0,1
Central Kalimantan,2022-11-01,1,0,1
Central Kalimantan,2022-12-01,1,0,0
Central Kalimantan,2023-01-01,0,0,0
Central Kalimantan,2023-02-01,0,0,2
Central Kalimantan,2023-03-01,2,0,1
Central Kalimantan,2023-04-01,1,0,2
Central Kalimantan,2023-05-01,2,0,4
Central Kalimantan,2023-06-01,4,0,2
Central Kalimantan,2023-07-01,2,0,0
Central Kalimantan,2023-08-01,0,0,5
Central Kalimantan,2023-09-01,5,0,6
Central Kalimantan,2023-10-01,6,0,2
Central Kalimantan,2023-11-01,2,0,0
Central Kalimantan,2023-12-01,0,0,1
Central Kalimantan,2024-01-01,1,0,2
Central Kalimantan,2024-02-01,2,0,2
Central Kalimantan,2024-03-01,2,0,2
Central Kalimantan,2024-04-01,2,0,5
Central Kalimantan,2024-05-01,5,0,1
Central Kalimantan,2024-06-01,1,0,2
Central Kalimantan,2024-07-01,2,0,0
Central Kalimantan,2024-08-01,0,0,2
Central Kalimantan,2024-09-01,2,0,4
Central Kalimantan,2024-10-01,4,0,2
Central Kalimantan,2024-11-01,2,0,3
Central Kalimantan,2024-12-01,3,0,3
Central Kalimantan,2025-01-01,3,0,NA
Central Papua,2019-01-01,0,0,2
Central Papua,2019-02-01,2,0,0
Central Papua,2019-03-01,0,0,0
Central Papua,2019-04-01,0,0,1
Central Papua,2019-05-01,1,0,2
Central Papua,2019-06-01,2,1,4
Central Papua,2019-07-01,4,0,5
Central Papua,2019-08-01,5,0,0
Central Papua,2019-09-01,0,0,0
Central Papua,2019-10-01,0,0,4
Central Papua,2019-11-01,4,1,1
Central Papua,2019-12-01,1,0,1
Central Papua,2020-01-01,1,1,1
Central Papua,2020-02-01,1,0,3
Central Papua,2020-03-01,3,1,2
Central Papua,2020-04-01,2,0,0
Central Papua,2020-05-01,0,0,2
Central Papua,2020-06-01,2,0,2
Central Papua,2020-07-01,2,0,10
Central Papua,2020-08-01,10,0,5
Central Papua,2020-09-01,5,1,1
Central Papua,2020-10-01,1,0,1
Central Papua,2020-11-01,1,0,7
Central Papua,2020-12-01,7,1,3
Central Papua,2021-01-01,3,0,3
Central Papua,2021-02-01,3,0,4
Central Papua,2021-03-01,4,0,3
Central Papua,2021-04-01,3,0,0
Central Papua,2021-05-01,0,0,4
Central Papua,2021-06-01,4,1,1
Central Papua,2021-07-01,1,0,3
Central Papua,2021-08-01,3,0,1
Central Papua,2021-09-01,1,0,2
Central Papua,2021-10-01,2,0,4
Central Papua,2021-11-01,4,0,3
Central Papua,2021-12-01,3,0,1
Central Papua,2022-01-01,1,0,3
Central Papua,2022-02-01,3,0,5
Central Papua,2022-03-01,5,0,6
Central Papua,2022-04-01,6,1,2
Central Papua,2022-05-01,2,0,10
Central Papua,2022-06-01,10,2,3
Central Papua,2022-07-01,3,0,1
Central Papua,2022-08-01,1,0,4
Central Papua,2022-09-01,4,0,0
Central Papua,2022-10-01,0,0,0
Central Papua,2022-11-01,0,0,4
Central Papua,2022-12-01,4,0,1
Central Papua,2023-01-01,1,0,0
Central Papua,2023-02-01,0,0,2
Central Papua,2023-03-01,2,0,1
Central Papua,2023-04-01,1,0,2
Central Papua,2023-05-01,2,0,2
Central Papua,2023-06-01,2,0,4
Central Papua,2023-07-01,4,0,0
Central Papua,2023-08-01,0,0,3
Central Papua,2023-09-01,3,0,2
Central Papua,2023-10-01,2,0,6
Central Papua,2023-11-01,6,0,4
Central Papua,2023-12-01,4,1,2
Central Papua,2024-01-01,2,0,0
Central Papua,2024-02-01,0,0,2
Central Papua,2024-03-01,2,0,1
Central Papua,2024-04-01,1,0,5
Central Papua,2024-05-01,5,0,2
Central Papua,2024-06-01,2,0,2
Central Papua,2024-07-01,2,0,12
Central Papua,2024-08-01,12,2,1
Central Papua,2024-09-01,1,0,4
Central Papua,2024-10-01,4,0,3
Central Papua,2024-11-01,3,1,4
Central Papua,2024-12-01,4,0,3
Central Papua,2025-01-01,3,0,NA
Central Sulawesi,2019-01-01,1,0,1
Central Sulawesi,2019-02-01,1,0,0
Central Sulawesi,2019-03-01,0,0,0
Central Sulawesi,2019-04-01,0,0,0
Central Sulawesi,2019-05-01,0,0,0
Central Sulawesi,2019-06-01,0,0,2
Central Sulawesi,2019-07-01,2,0,0
Central Sulawesi,2019-08-01,0,0,3
Central Sulawesi,2019-09-01,3,1,2
Central Sulawesi,2019-10-01,2,0,0
Central Sulawesi,2019-11-01,0,0,0
Central Sulawesi,2019-12-01,0,0,0
Central Sulawesi,2020-01-01,0,0,0
