admin1,week,protest_count,repression_events,repression_fatalities,protest_count_t1,repression_t
Aceh,2023-09-03,5,0,0,1,0
Aceh,2023-09-10,1,0,0,1,0
Aceh,2023-09-17,1,0,0,1,0
Aceh,2023-09-24,1,0,0,3,0
Aceh,2023-10-01,3,0,0,2,0
Aceh,2023-10-08,2,0,0,5,0
Aceh,2023-10-15,5,0,0,5,0
Aceh,2023-10-22,5,0,0,5,0
Aceh,2023-10-29,5,0,0,9,0
Aceh,2023-11-05,9,0,0,1,0
Aceh,2023-11-12,1,0,0,3,0
Aceh,2023-11-19,3,0,0,3,0
Aceh,2023-11-26,3,0,0,2,0
Aceh,2023-12-03,2,0,0,8,0
Aceh,2023-12-10,8,0,0,7,0
Aceh,2023-12-17,7,0,0,0,0
Aceh,2023-12-24,0,0,0,1,0
Aceh,2023-12-31,1,0,0,2,0
Aceh,2024-01-07,2,0,0,5,0
Aceh,2024-01-14,5,0,0,2,0
Aceh,2024-01-21,2,0,0,0,0
Aceh,2024-01-28,0,0,0,11,0
Aceh,2024-02-04,11,0,0,0,0
Aceh,2024-02-11,0,0,0,1,0
Aceh,2024-02-18,1,0,0,2,0
Aceh,2024-02-25,2,0,0,1,0
Aceh,2024-03-03,1,0,0,0,0
Aceh,2024-03-10,0,0,0,2,0
Aceh,2024-03-17,2,0,0,2,0
Aceh,2024-03-24,2,0,0,1,0
Aceh,2024-03-31,1,0,0,0,0
Aceh,2024-04-07,0,0,0,1,0
Aceh,2024-04-14,1,0,0,2,0
Aceh,2024-04-21,2,0,0,3,0
Aceh,2024-04-28,3,0,0,0,0
Aceh,2024-05-05,0,0,0,4,0
Aceh,2024-05-12,4,0,0,2,0
Aceh,2024-05-19,2,0,0,3,0
Aceh,2024-05-26,3,0,0,4,0
Aceh,2024-06-02,4,0,0,0,0
Aceh,2024-06-09,0,0,0,0,0
Aceh,2024-06-16,0,0,0,0,0
Aceh,2024-06-23,0,0,0,2,0
Aceh,2024-06-30,2,0,0,0,0
Aceh,2024-07-07,0,0,0,2,0
Aceh,2024-07-14,2,0,0,1,0
Aceh,2024-07-21,1,0,0,0,0
Aceh,2024-07-28,0,0,0,1,0
Aceh,2024-08-04,1,0,0,3,0
Aceh,2024-08-11,3,0,0,0,0
Aceh,2024-08-18,0,0,0,5,0
Aceh,2024-08-25,5,1,0,0,1
Aceh,2024-09-01,0,0,0,0,0
Aceh,2024-09-08,0,0,0,1,0
Aceh,2024-09-15,1,0,0,3,0
Aceh,2024-09-22,3,0,0,0,0
Aceh,2024-09-29,0,0,0,0,0
Aceh,2024-10-06,0,0,0,2,0
Aceh,2024-10-13,2,0,0,0,0
Aceh,2024-10-20,0,0,0,0,0
Aceh,2024-10-27,0,0,0,5,0
Aceh,2024-11-03,5,0,0,4,0
Aceh,2024-11-10,4,0,0,1,0
Aceh,2024-11-17,1,0,0,1,0
Aceh,2024-11-24,1,0,0,2,0
Aceh,2024-12-01,2,0,0,2,0
Aceh,2024-12-08,2,0,0,3,0
Aceh,2024-12-15,3,0,0,0,0
Aceh,2024-12-22,0,0,0,2,0
Aceh,2024-12-29,2,0,0,2,0
Aceh,2025-01-05,2,0,0,8,0
Aceh,2025-01-12,8,0,0,4,0
Aceh,2025-01-19,4,0,0,0,0
Aceh,2025-01-26,0,0,0,NA,0
Bali,2019-01-06,0,0,0,1,0
Bali,2019-01-13,1,0,0,1,0
Bali,2019-01-20,1,0,0,0,0
Bali,2019-01-27,0,0,0,0,0
Bali,2019-02-03,0,0,0,0,0
Bali,2019-02-10,0,0,0,0,0
Bali,2019-02-17,0,0,0,0,0
Bali,2019-02-24,0,0,0,0,0
Bali,2019-03-03,0,0,0,0,0
Bali,2019-03-10,0,0,0,0,0
Bali,2019-03-17,0,0,0,0,0
Bali,2019-03-24,0,0,0,0,0
Bali,2019-03-31,0,0,0,1,0
Bali,2019-04-07,1,1,0,2,1
Bali,2019-04-14,2,1,0,0,1
Bali,2019-04-21,0,0,0,0,0
Bali,2019-04-28,0,0,0,1,0
Bali,2019-05-05,1,0,0,0,0
Bali,2019-05-12,0,0,0,0,0
Bali,2019-05-19,0,0,0,0,0
Bali,2019-05-26,0,0,0,0,0
Bali,2019-06-02,0,0,0,0,0
Bali,2019-06-09,0,0,0,0,0
Bali,2019-06-16,0,0,0,0,0
Bali,2019-06-23,0,0,0,1,0
Bali,2019-06-30,1,1,0,1,1
Bali,2019-07-07,1,0,0,0,0
Bali,2019-07-14,0,0,0,0,0
Bali,2019-07-21,0,0,0,0,0
Bali,2019-07-28,0,0,0,0,0
Bali,2019-08-04,0,0,0,0,0
Bali,2019-08-11,0,0,0,0,0
Bali,2019-08-18,0,0,0,0,0
Bali,2019-08-25,0,0,0,1,0
Bali,2019-09-01,1,0,0,0,0
Bali,2019-09-08,0,0,0,0,0
Bali,2019-09-15,0,0,0,1,0
Bali,2019-09-22,1,0,0,1,0
Bali,2019-09-29,1,0,0,0,0
Bali,2019-10-06,0,0,0,0,0
Bali,2019-10-13,0,0,0,0,0
Bali,2019-10-20,0,0,0,0,0
Bali,2019-10-27,0,0,0,0,0
Bali,2019-11-03,0,0,0,0,0
Bali,2019-11-10,0,0,0,0,0
Bali,2019-11-17,0,0,0,0,0
Bali,2019-11-24,0,0,0,0,0
Bali,2019-12-01,0,0,0,0,0
Bali,2019-12-08,0,0,0,0,0
Bali,2019-12-15,0,0,0,0,0
Bali,2019-12-22,0,0,0,0,0
Bali,2019-12-29,0,0,0,0,0
Bali,2020-01-05,0,0,0,0,0
Bali,2020-01-12,0,0,0,0,0
Bali,2020-01-19,0,0,0,0,0
Bali,2020-01-26,0,0,0,0,0
Bali,2020-02-02,0,0,0,0,0
Bali,2020-02-09,0,0,0,0,0
Bali,2020-02-16,0,0,0,0,0
Bali,2020-02-23,0,0,0,0,0
Bali,2020-03-01,0,0,0,0,0
Bali,2020-03-08,0,0,0,0,0
Bali,2020-03-15,0,0,0,0,0
Bali,2020-03-22,0,0,0,0,0
Bali,2020-03-29,0,0,0,0,0
Bali,2020-04-05,0,0,0,1,0
Bali,2020-04-12,1,0,0,1,0
Bali,2020-04-19,1,0,0,0,0
Bali,2020-04-26,0,0,0,0,0
Bali,2020-05-03,0,0,0,0,0
Bali,2020-05-10,0,0,0,0,0
Bali,2020-05-17,0,0,0,0,0
Bali,2020-05-24,0,0,0,0,0
Bali,2020-05-31,0,0,0,0,0
Bali,2020-06-07,0,0,0,0,0
Bali,2020-06-14,0,0,0,0,0
Bali,2020-06-21,0,0,0,0,0
Bali,2020-06-28,0,0,0,1,0
Bali,2020-07-05,1,1,0,1,1
Bali,2020-07-12,1,0,0,0,0
Bali,2020-07-19,0,0,0,1,0
Bali,2020-07-26,1,0,0,0,0
Bali,2020-08-02,0,0,0,1,0
Bali,2020-08-09,1,1,0,0,1
Bali,2020-08-16,0,0,0,0,0
Bali,2020-08-23,0,0,0,0,0
Bali,2020-08-30,0,0,0,1,0
Bali,2020-09-06,1,0,0,0,0
Bali,2020-09-13,0,0,0,1,0
Bali,2020-09-20,1,0,0,2,0
Bali,2020-09-27,2,1,0,0,1
Bali,2020-10-04,0,0,0,1,0
Bali,2020-10-11,1,0,0,1,0
Bali,2020-10-18,1,0,0,1,0
Bali,2020-10-25,1,0,0,1,0
Bali,2020-11-01,1,0,0,0,0
Bali,2020-11-08,0,0,0,0,0
Bali,2020-11-15,0,0,0,0,0
Bali,2020-11-22,0,0,0,0,0
Bali,2020-11-29,0,0,0,0,0
Bali,2020-12-06,0,0,0,0,0
Bali,2020-12-13,0,0,0,0,0
Bali,2020-12-20,0,0,0,0,0
Bali,2020-12-27,0,0,0,0,0
Bali,2021-01-03,0,0,0,0,0
Bali,2021-01-10,0,0,0,0,0
Bali,2021-01-17,0,0,0,0,0
Bali,2021-01-24,0,0,0,0,0
Bali,2021-01-31,0,0,0,0,0
Bali,2021-02-07,0,0,0,0,0
Bali,2021-02-14,0,0,0,0,0
Bali,2021-02-21,0,0,0,0,0
Bali,2021-02-28,0,0,0,1,0
Bali,2021-03-07,1,1,0,0,1
Bali,2021-03-14,0,0,0,0,0
Bali,2021-03-21,0,0,0,0,0
Bali,2021-03-28,0,0,0,0,0
Bali,2021-04-04,0,0,0,0,0
Bali,2021-04-11,0,0,0,0,0
Bali,2021-04-18,0,0,0,1,0
Bali,2021-04-25,1,0,0,0,0
Bali,2021-05-02,0,0,0,0,0
Bali,2021-05-09,0,0,0,0,0
Bali,2021-05-16,0,0,0,0,0
